EVENT_ID,EVENT_TIMESTAMP,ENTITY_TYPE,ENTITY_ID,EVENT_TYPE,DESCRIPTION
EVT-0000032,2026-03-21 00:00:00,PURCHASE_ORDER,PO-000032,PO_CREATED,Purchase order PO-000032 created in ERP
EVT-0000033,2026-02-19 00:00:00,PURCHASE_ORDER,PO-000033,PO_CREATED,Purchase order PO-000033 created in ERP
EVT-0000034,2026-02-09 00:00:00,PURCHASE_ORDER,PO-000034,PO_CREATED,Purchase order PO-000034 created in ERP
EVT-0000035,2026-02-11 00:00:00,PURCHASE_ORDER,PO-000035,PO_CREATED,Purchase order PO-000035 created in ERP
EVT-0000036,2026-07-29 00:00:00,PURCHASE_ORDER,PO-000036,PO_CREATED,Purchase order PO-000036 created in ERP
EVT-0000037,2026-01-21 00:00:00,PURCHASE_ORDER,PO-000037,PO_CREATED,Purchase order PO-000037 created in ERP
EVT-0000038,2026-05-21 00:00:00,PURCHASE_ORDER,PO-000038,PO_CREATED,Purchase order PO-000038 created in ERP
EVT-0000039,2026-06-13 00:00:00,PURCHASE_ORDER,PO-000039,PO_CREATED,Purchase order PO-000039 created in ERP
EVT-0000040,2026-07-03 00:00:00,PURCHASE_ORDER,PO-000040,PO_CREATED,Purchase order PO-000040 created in ERP
EVT-0000041,2026-05-15 00:00:00,PURCHASE_ORDER,PO-000041,PO_CREATED,Purchase order PO-000041 created in ERP
EVT-0000042,2026-07-11 00:00:00,PURCHASE_ORDER,PO-000042,PO_CREATED,Purchase order PO-000042 created in ERP
EVT-0000043,2026-07-27 00:00:00,PURCHASE_ORDER,PO-000043,PO_CREATED,Purchase order PO-000043 created in ERP
EVT-0000044,2026-05-12 00:00:00,PURCHASE_ORDER,PO-000044,PO_CREATED,Purchase order PO-000044 created in ERP
EVT-0000045,2026-06-27 00:00:00,PURCHASE_ORDER,PO-000045,PO_CREATED,Purchase order PO-000045 created in ERP
EVT-0000046,2026-03-24 00:00:00,PURCHASE_ORDER,PO-000046,PO_CREATED,Purchase order PO-000046 created in ERP
EVT-0000047,2026-04-04 00:00:00,PURCHASE_ORDER,PO-000047,PO_CREATED,Purchase order PO-000047 created in ERP
EVT-0000048,2026-04-03 00:00:00,PURCHASE_ORDER,PO-000048,PO_CREATED,Purchase order PO-000048 created in ERP
EVT-0000049,2026-03-05 00:00:00,PURCHASE_ORDER,PO-000049,PO_CREATED,Purchase order PO-000049 created in ERP
EVT-0000050,2026-02-21 00:00:00,PURCHASE_ORDER,PO-000050,PO_CREATED,Purchase order PO-000050 created in ERP
EVT-0000051,2026-01-07 00:00:00,PURCHASE_ORDER,PO-000051,PO_CREATED,Purchase order PO-000051 created in ERP
EVT-0000052,2026-07-16 00:00:00,PURCHASE_ORDER,PO-000052,PO_CREATED,Purchase order PO-000052 created in ERP
EVT-0000053,2026-03-30 00:00:00,PURCHASE_ORDER,PO-000053,PO_CREATED,Purchase order PO-000053 created in ERP
EVT-0000054,2026-06-07 00:00:00,PURCHASE_ORDER,PO-000054,PO_CREATED,Purchase order PO-000054 created in ERP
EVT-0000055,2026-06-14 00:00:00,PURCHASE_ORDER,PO-000055,PO_CREATED,Purchase order PO-000055 created in ERP
EVT-0000056,2026-01-19 00:00:00,PURCHASE_ORDER,PO-000056,PO_CREATED,Purchase order PO-000056 created in ERP
EVT-0000057,2026-04-26 00:00:00,PURCHASE_ORDER,PO-000057,PO_CREATED,Purchase order PO-000057 created in ERP
EVT-0000058,2026-08-28 00:00:00,PURCHASE_ORDER,PO-000058,PO_CREATED,Purchase order PO-000058 created in ERP
EVT-0000059,2026-03-03 00:00:00,PURCHASE_ORDER,PO-000059,PO_CREATED,Purchase order PO-000059 created in ERP
EVT-0000060,2026-08-05 00:00:00,PURCHASE_ORDER,PO-000060,PO_CREATED,Purchase order PO-000060 created in ERP
EVT-0000061,2026-02-02 00:00:00,PURCHASE_ORDER,PO-000061,PO_CREATED,Purchase order PO-000061 created in ERP
EVT-0000062,2026-06-05 00:00:00,PURCHASE_ORDER,PO-000062,PO_CREATED,Purchase order PO-000062 created in ERP
EVT-0000063,2026-01-29 00:00:00,PURCHASE_ORDER,PO-000063,PO_CREATED,Purchase order PO-000063 created in ERP
EVT-0000064,2026-07-04 00:00:00,PURCHASE_ORDER,PO-000064,PO_CREATED,Purchase order PO-000064 created in ERP
EVT-0000065,2026-02-08 00:00:00,PURCHASE_ORDER,PO-000065,PO_CREATED,Purchase order PO-000065 created in ERP
EVT-0000066,2026-02-19 00:00:00,PURCHASE_ORDER,PO-000066,PO_CREATED,Purchase order PO-000066 created in ERP
EVT-0000067,2026-07-29 00:00:00,PURCHASE_ORDER,PO-000067,PO_CREATED,Purchase order PO-000067 created in ERP
EVT-0000068,2026-06-07 00:00:00,PURCHASE_ORDER,PO-000068,PO_CREATED,Purchase order PO-000068 created in ERP
EVT-0000069,2026-04-15 00:00:00,PURCHASE_ORDER,PO-000069,PO_CREATED,Purchase order PO-000069 created in ERP
EVT-0000070,2026-01-03 00:00:00,PURCHASE_ORDER,PO-000070,PO_CREATED,Purchase order PO-000070 created in ERP
EVT-0000071,2026-01-04 00:00:00,PURCHASE_ORDER,PO-000071,PO_CREATED,Purchase order PO-000071 created in ERP
EVT-0000072,2026-08-28 00:00:00,PURCHASE_ORDER,PO-000072,PO_CREATED,Purchase order PO-000072 created in ERP
EVT-0000073,2026-06-13 00:00:00,PURCHASE_ORDER,PO-000073,PO_CREATED,Purchase order PO-000073 created in ERP
EVT-0000074,2026-06-24 00:00:00,PURCHASE_ORDER,PO-000074,PO_CREATED,Purchase order PO-000074 created in ERP
EVT-0000075,2026-07-27 00:00:00,PURCHASE_ORDER,PO-000075,PO_CREATED,Purchase order PO-000075 created in ERP
EVT-0000076,2026-02-16 00:00:00,PURCHASE_ORDER,PO-000076,PO_CREATED,Purchase order PO-000076 created in ERP
EVT-0000077,2026-07-13 00:00:00,PURCHASE_ORDER,PO-000077,PO_CREATED,Purchase order PO-000077 created in ERP
EVT-0000078,2026-04-25 00:00:00,PURCHASE_ORDER,PO-000078,PO_CREATED,Purchase order PO-000078 created in ERP
EVT-0000079,2026-05-28 00:00:00,PURCHASE_ORDER,PO-000079,PO_CREATED,Purchase order PO-000079 created in ERP
EVT-0000080,2026-06-10 00:00:00,PURCHASE_ORDER,PO-000080,PO_CREATED,Purchase order PO-000080 created in ERP
EVT-0000081,2026-03-18 00:00:00,PURCHASE_ORDER,PO-000081,PO_CREATED,Purchase order PO-000081 created in ERP
EVT-0000082,2026-03-04 00:00:00,PURCHASE_ORDER,PO-000082,PO_CREATED,Purchase order PO-000082 created in ERP
EVT-0000083,2026-04-07 00:00:00,PURCHASE_ORDER,PO-000083,PO_CREATED,Purchase order PO-000083 created in ERP
EVT-0000084,2026-02-24 00:00:00,PURCHASE_ORDER,PO-000084,PO_CREATED,Purchase order PO-000084 created in ERP
EVT-0000085,2026-08-23 00:00:00,PURCHASE_ORDER,PO-000085,PO_CREATED,Purchase order PO-000085 created in ERP
EVT-0000086,2026-07-07 00:00:00,PURCHASE_ORDER,PO-000086,PO_CREATED,Purchase order PO-000086 created in ERP
EVT-0000087,2026-04-16 00:00:00,PURCHASE_ORDER,PO-000087,PO_CREATED,Purchase order PO-000087 created in ERP
EVT-0000088,2026-06-08 00:00:00,PURCHASE_ORDER,PO-000088,PO_CREATED,Purchase order PO-000088 created in ERP
EVT-0000089,2026-06-08 00:00:00,PURCHASE_ORDER,PO-000089,PO_CREATED,Purchase order PO-000089 created in ERP
EVT-0000090,2026-01-15 00:00:00,PURCHASE_ORDER,PO-000090,PO_CREATED,Purchase order PO-000090 created in ERP
EVT-0000091,2026-02-28 00:00:00,PURCHASE_ORDER,PO-000091,PO_CREATED,Purchase order PO-000091 created in ERP
EVT-0000092,2026-05-26 00:00:00,PURCHASE_ORDER,PO-000092,PO_CREATED,Purchase order PO-000092 created in ERP
EVT-0000093,2026-05-06 00:00:00,PURCHASE_ORDER,PO-000093,PO_CREATED,Purchase order PO-000093 created in ERP
EVT-0000094,2026-01-27 00:00:00,PURCHASE_ORDER,PO-000094,PO_CREATED,Purchase order PO-000094 created in ERP
EVT-0000095,2026-02-13 00:00:00,PURCHASE_ORDER,PO-000095,PO_CREATED,Purchase order PO-000095 created in ERP
EVT-0000096,2026-04-28 00:00:00,PURCHASE_ORDER,PO-000096,PO_CREATED,Purchase order PO-000096 created in ERP
EVT-0000097,2026-07-28 00:00:00,PURCHASE_ORDER,PO-000097,PO_CREATED,Purchase order PO-000097 created in ERP
EVT-0000098,2026-04-04 00:00:00,PURCHASE_ORDER,PO-000098,PO_CREATED,Purchase order PO-000098 created in ERP
EVT-0000099,2026-03-03 00:00:00,PURCHASE_ORDER,PO-000099,PO_CREATED,Purchase order PO-000099 created in ERP
EVT-0000100,2026-05-25 00:00:00,PURCHASE_ORDER,PO-000100,PO_CREATED,Purchase order PO-000100 created in ERP
EVT-0000101,2026-04-17 00:00:00,PURCHASE_ORDER,PO-000101,PO_CREATED,Purchase order PO-000101 created in ERP
EVT-0000102,2026-05-14 00:00:00,PURCHASE_ORDER,PO-000102,PO_CREATED,Purchase order PO-000102 created in ERP
EVT-0000103,2026-01-06 00:00:00,PURCHASE_ORDER,PO-000103,PO_CREATED,Purchase order PO-000103 created in ERP
EVT-0000104,2026-02-17 00:00:00,PURCHASE_ORDER,PO-000104,PO_CREATED,Purchase order PO-000104 created in ERP
EVT-0000105,2026-05-16 00:00:00,PURCHASE_ORDER,PO-000105,PO_CREATED,Purchase order PO-000105 created in ERP
EVT-0000106,2026-05-11 00:00:00,PURCHASE_ORDER,PO-000106,PO_CREATED,Purchase order PO-000106 created in ERP
EVT-0000107,2026-07-28 00:00:00,PURCHASE_ORDER,PO-000107,PO_CREATED,Purchase order PO-000107 created in ERP
EVT-0000108,2026-05-21 00:00:00,PURCHASE_ORDER,PO-000108,PO_CREATED,Purchase order PO-000108 created in ERP
EVT-0000109,2026-04-23 00:00:00,PURCHASE_ORDER,PO-000109,PO_CREATED,Purchase order PO-000109 created in ERP
EVT-0000110,2026-05-17 00:00:00,PURCHASE_ORDER,PO-000110,PO_CREATED,Purchase order PO-000110 created in ERP
EVT-0000111,2026-08-01 00:00:00,PURCHASE_ORDER,PO-000111,PO_CREATED,Purchase order PO-000111 created in ERP
EVT-0000112,2026-07-23 00:00:00,PURCHASE_ORDER,PO-000112,PO_CREATED,Purchase order PO-000112 created in ERP
EVT-0000113,2026-02-21 00:00:00,PURCHASE_ORDER,PO-000113,PO_CREATED,Purchase order PO-000113 created in ERP
EVT-0000114,2026-06-30 00:00:00,PURCHASE_ORDER,PO-000114,PO_CREATED,Purchase order PO-000114 created in ERP
EVT-0000115,2026-04-05 00:00:00,PURCHASE_ORDER,PO-000115,PO_CREATED,Purchase order PO-000115 created in ERP
EVT-0000116,2026-03-31 00:00:00,PURCHASE_ORDER,PO-000116,PO_CREATED,Purchase order PO-000116 created in ERP
EVT-0000117,2026-07-11 00:00:00,PURCHASE_ORDER,PO-000117,PO_CREATED,Purchase order PO-000117 created in ERP
EVT-0000118,2026-02-03 00:00:00,PURCHASE_ORDER,PO-000118,PO_CREATED,Purchase order PO-000118 created in ERP
EVT-0000119,2026-04-19 00:00:00,PURCHASE_ORDER,PO-000119,PO_CREATED,Purchase order PO-000119 created in ERP
EVT-0000120,2026-03-21 00:00:00,PURCHASE_ORDER,PO-000120,PO_CREATED,Purchase order PO-000120 created in ERP
EVT-0000121,2026-03-21 00:00:00,PURCHASE_ORDER,PO-000121,PO_CREATED,Purchase order PO-000121 created in ERP
EVT-0000122,2026-02-12 00:00:00,PURCHASE_ORDER,PO-000122,PO_CREATED,Purchase order PO-000122 created in ERP
EVT-0000123,2026-07-02 00:00:00,PURCHASE_ORDER,PO-000123,PO_CREATED,Purchase order PO-000123 created in ERP
EVT-0000124,2026-04-09 00:00:00,PURCHASE_ORDER,PO-000124,PO_CREATED,Purchase order PO-000124 created in ERP
EVT-0000125,2026-03-11 00:00:00,PURCHASE_ORDER,PO-000125,PO_CREATED,Purchase order PO-000125 created in ERP
EVT-0000126,2026-01-18 00:00:00,PURCHASE_ORDER,PO-000126,PO_CREATED,Purchase order PO-000126 created in ERP
EVT-0000127,2026-07-07 00:00:00,PURCHASE_ORDER,PO-000127,PO_CREATED,Purchase order PO-000127 created in ERP
EVT-0000128,2026-01-27 00:00:00,PURCHASE_ORDER,PO-000128,PO_CREATED,Purchase order PO-000128 created in ERP
EVT-0000129,2026-04-22 00:00:00,PURCHASE_ORDER,PO-000129,PO_CREATED,Purchase order PO-000129 created in ERP
EVT-0000130,2026-07-19 00:00:00,PURCHASE_ORDER,PO-000130,PO_CREATED,Purchase order PO-000130 created in ERP
EVT-0000131,2026-04-29 00:00:00,PURCHASE_ORDER,PO-000131,PO_CREATED,Purchase order PO-000131 created in ERP
EVT-0000132,2026-02-07 00:00:00,PURCHASE_ORDER,PO-000132,PO_CREATED,Purchase order PO-000132 created in ERP
EVT-0000133,2026-01-16 00:00:00,PURCHASE_ORDER,PO-000133,PO_CREATED,Purchase order PO-000133 created in ERP
EVT-0000134,2026-07-27 00:00:00,PURCHASE_ORDER,PO-000134,PO_CREATED,Purchase order PO-000134 created in ERP
EVT-0000135,2026-05-08 00:00:00,PURCHASE_ORDER,PO-000135,PO_CREATED,Purchase order PO-000135 created in ERP
EVT-0000136,2026-06-15 00:00:00,PURCHASE_ORDER,PO-000136,PO_CREATED,Purchase order PO-000136 created in ERP
EVT-0000137,2026-02-16 00:00:00,PURCHASE_ORDER,PO-000137,PO_CREATED,Purchase order PO-000137 created in ERP
EVT-0000138,2026-02-10 00:00:00,PURCHASE_ORDER,PO-000138,PO_CREATED,Purchase order PO-000138 created in ERP
EVT-0000139,2026-05-25 00:00:00,PURCHASE_ORDER,PO-000139,PO_CREATED,Purchase order PO-000139 created in ERP
EVT-0000140,2026-08-24 00:00:00,PURCHASE_ORDER,PO-000140,PO_CREATED,Purchase order PO-000140 created in ERP
EVT-0000141,2026-08-05 00:00:00,PURCHASE_ORDER,PO-000141,PO_CREATED,Purchase order PO-000141 created in ERP
EVT-0000142,2026-02-04 00:00:00,PURCHASE_ORDER,PO-000142,PO_CREATED,Purchase order PO-000142 created in ERP
EVT-0000143,2026-02-16 00:00:00,PURCHASE_ORDER,PO-000143,PO_CREATED,Purchase order PO-000143 created in ERP
EVT-0000144,2026-03-23 00:00:00,PURCHASE_ORDER,PO-000144,PO_CREATED,Purchase order PO-000144 created in ERP
EVT-0000145,2026-05-07 00:00:00,PURCHASE_ORDER,PO-000145,PO_CREATED,Purchase order PO-000145 created in ERP
EVT-0000146,2026-03-28 00:00:00,PURCHASE_ORDER,PO-000146,PO_CREATED,Purchase order PO-000146 created in ERP
EVT-0000147,2026-03-26 00:00:00,PURCHASE_ORDER,PO-000147,PO_CREATED,Purchase order PO-000147 created in ERP
EVT-0000148,2026-01-25 00:00:00,PURCHASE_ORDER,PO-000148,PO_CREATED,Purchase order PO-000148 created in ERP
EVT-0000149,2026-01-12 00:00:00,PURCHASE_ORDER,PO-000149,PO_CREATED,Purchase order PO-000149 created in ERP
EVT-0000150,2026-07-29 00:00:00,PURCHASE_ORDER,PO-000150,PO_CREATED,Purchase order PO-000150 created in ERP
EVT-0000151,2026-07-26 00:00:00,PURCHASE_ORDER,PO-000151,PO_CREATED,Purchase order PO-000151 created in ERP
EVT-0000152,2026-01-29 00:00:00,PURCHASE_ORDER,PO-000152,PO_CREATED,Purchase order PO-000152 created in ERP
EVT-0000153,2026-03-09 00:00:00,PURCHASE_ORDER,PO-000153,PO_CREATED,Purchase order PO-000153 created in ERP
EVT-0000154,2026-08-08 00:00:00,PURCHASE_ORDER,PO-000154,PO_CREATED,Purchase order PO-000154 created in ERP
EVT-0000155,2026-07-09 00:00:00,PURCHASE_ORDER,PO-000155,PO_CREATED,Purchase order PO-000155 created in ERP
EVT-0000156,2026-07-19 00:00:00,PURCHASE_ORDER,PO-000156,PO_CREATED,Purchase order PO-000156 created in ERP
EVT-0000157,2026-07-30 00:00:00,PURCHASE_ORDER,PO-000157,PO_CREATED,Purchase order PO-000157 created in ERP
EVT-0000158,2026-02-15 00:00:00,PURCHASE_ORDER,PO-000158,PO_CREATED,Purchase order PO-000158 created in ERP
EVT-0000159,2026-03-10 00:00:00,PURCHASE_ORDER,PO-000159,PO_CREATED,Purchase order PO-000159 created in ERP
EVT-0000160,2026-02-27 00:00:00,PURCHASE_ORDER,PO-000160,PO_CREATED,Purchase order PO-000160 created in ERP
EVT-0000161,2026-05-24 00:00:00,PURCHASE_ORDER,PO-000161,PO_CREATED,Purchase order PO-000161 created in ERP
EVT-0000162,2026-06-19 00:00:00,PURCHASE_ORDER,PO-000162,PO_CREATED,Purchase order PO-000162 created in ERP
EVT-0000163,2026-07-08 00:00:00,PURCHASE_ORDER,PO-000163,PO_CREATED,Purchase order PO-000163 created in ERP
EVT-0000164,2026-02-26 00:00:00,PURCHASE_ORDER,PO-000164,PO_CREATED,Purchase order PO-000164 created in ERP
EVT-0000165,2026-02-05 00:00:00,PURCHASE_ORDER,PO-000165,PO_CREATED,Purchase order PO-000165 created in ERP
EVT-0000166,2026-02-03 00:00:00,PURCHASE_ORDER,PO-000166,PO_CREATED,Purchase order PO-000166 created in ERP
EVT-0000167,2026-01-27 00:00:00,PURCHASE_ORDER,PO-000167,PO_CREATED,Purchase order PO-000167 created in ERP
EVT-0000168,2026-04-02 00:00:00,PURCHASE_ORDER,PO-000168,PO_CREATED,Purchase order PO-000168 created in ERP
EVT-0000169,2026-01-13 00:00:00,PURCHASE_ORDER,PO-000169,PO_CREATED,Purchase order PO-000169 created in ERP
EVT-0000170,2026-03-14 00:00:00,PURCHASE_ORDER,PO-000170,PO_CREATED,Purchase order PO-000170 created in ERP
EVT-0000171,2026-08-02 00:00:00,PURCHASE_ORDER,PO-000171,PO_CREATED,Purchase order PO-000171 created in ERP
EVT-0000172,2026-08-12 00:00:00,PURCHASE_ORDER,PO-000172,PO_CREATED,Purchase order PO-000172 created in ERP
EVT-0000173,2026-04-06 00:00:00,PURCHASE_ORDER,PO-000173,PO_CREATED,Purchase order PO-000173 created in ERP
EVT-0000174,2026-07-24 00:00:00,PURCHASE_ORDER,PO-000174,PO_CREATED,Purchase order PO-000174 created in ERP
EVT-0000175,2026-07-25 00:00:00,PURCHASE_ORDER,PO-000175,PO_CREATED,Purchase order PO-000175 created in ERP
EVT-0000176,2026-04-23 00:00:00,PURCHASE_ORDER,PO-000176,PO_CREATED,Purchase order PO-000176 created in ERP
EVT-0000177,2026-01-03 00:00:00,PURCHASE_ORDER,PO-000177,PO_CREATED,Purchase order PO-000177 created in ERP
EVT-0000178,2026-04-25 00:00:00,PURCHASE_ORDER,PO-000178,PO_CREATED,Purchase order PO-000178 created in ERP
EVT-0000179,2026-07-31 00:00:00,PURCHASE_ORDER,PO-000179,PO_CREATED,Purchase order PO-000179 created in ERP
EVT-0000180,2026-07-03 00:00:00,PURCHASE_ORDER,PO-000180,PO_CREATED,Purchase order PO-000180 created in ERP
EVT-0000181,2026-05-21 00:00:00,PURCHASE_ORDER,PO-000181,PO_CREATED,Purchase order PO-000181 created in ERP
EVT-0000182,2026-06-06 00:00:00,PURCHASE_ORDER,PO-000182,PO_CREATED,Purchase order PO-000182 created in ERP
EVT-0000183,2026-05-22 00:00:00,PURCHASE_ORDER,PO-000183,PO_CREATED,Purchase order PO-000183 created in ERP
EVT-0000184,2026-03-12 00:00:00,PURCHASE_ORDER,PO-000184,PO_CREATED,Purchase order PO-000184 created in ERP
EVT-0000185,2026-06-25 00:00:00,PURCHASE_ORDER,PO-000185,PO_CREATED,Purchase order PO-000185 created in ERP
EVT-0000186,2026-05-14 00:00:00,PURCHASE_ORDER,PO-000186,PO_CREATED,Purchase order PO-000186 created in ERP
EVT-0000187,2026-04-02 00:00:00,PURCHASE_ORDER,PO-000187,PO_CREATED,Purchase order PO-000187 created in ERP
EVT-0000188,2026-05-22 00:00:00,PURCHASE_ORDER,PO-000188,PO_CREATED,Purchase order PO-000188 created in ERP
EVT-0000189,2026-02-17 00:00:00,PURCHASE_ORDER,PO-000189,PO_CREATED,Purchase order PO-000189 created in ERP
EVT-0000190,2026-02-11 00:00:00,PURCHASE_ORDER,PO-000190,PO_CREATED,Purchase order PO-000190 created in ERP
EVT-0000191,2026-06-02 00:00:00,PURCHASE_ORDER,PO-000191,PO_CREATED,Purchase order PO-000191 created in ERP
EVT-0000192,2026-03-26 00:00:00,PURCHASE_ORDER,PO-000192,PO_CREATED,Purchase order PO-000192 created in ERP
EVT-0000193,2026-05-05 00:00:00,PURCHASE_ORDER,PO-000193,PO_CREATED,Purchase order PO-000193 created in ERP
EVT-0000194,2026-06-15 00:00:00,PURCHASE_ORDER,PO-000194,PO_CREATED,Purchase order PO-000194 created in ERP
EVT-0000195,2026-08-22 00:00:00,PURCHASE_ORDER,PO-000195,PO_CREATED,Purchase order PO-000195 created in ERP
EVT-0000196,2026-04-08 00:00:00,PURCHASE_ORDER,PO-000196,PO_CREATED,Purchase order PO-000196 created in ERP
EVT-0000197,2026-07-11 00:00:00,PURCHASE_ORDER,PO-000197,PO_CREATED,Purchase order PO-000197 created in ERP
EVT-0000198,2026-08-06 00:00:00,PURCHASE_ORDER,PO-000198,PO_CREATED,Purchase order PO-000198 created in ERP
EVT-0000199,2026-03-26 00:00:00,PURCHASE_ORDER,PO-000199,PO_CREATED,Purchase order PO-000199 created in ERP
EVT-0000200,2026-06-07 00:00:00,PURCHASE_ORDER,PO-000200,PO_CREATED,Purchase order PO-000200 created in ERP
EVT-0000201,2026-05-05 00:00:00,PURCHASE_ORDER,PO-000201,PO_CREATED,Purchase order PO-000201 created in ERP
EVT-0000202,2026-07-06 00:00:00,PURCHASE_ORDER,PO-000202,PO_CREATED,Purchase order PO-000202 created in ERP
EVT-0000203,2026-05-20 00:00:00,PURCHASE_ORDER,PO-000203,PO_CREATED,Purchase order PO-000203 created in ERP
EVT-0000204,2026-05-09 00:00:00,PURCHASE_ORDER,PO-000204,PO_CREATED,Purchase order PO-000204 created in ERP
EVT-0000205,2026-03-01 00:00:00,PURCHASE_ORDER,PO-000205,PO_CREATED,Purchase order PO-000205 created in ERP
EVT-0000206,2026-08-02 00:00:00,PURCHASE_ORDER,PO-000206,PO_CREATED,Purchase order PO-000206 created in ERP
EVT-0000207,2026-01-20 00:00:00,PURCHASE_ORDER,PO-000207,PO_CREATED,Purchase order PO-000207 created in ERP
EVT-0000208,2026-05-03 00:00:00,PURCHASE_ORDER,PO-000208,PO_CREATED,Purchase order PO-000208 created in ERP
EVT-0000209,2026-01-22 00:00:00,PURCHASE_ORDER,PO-000209,PO_CREATED,Purchase order PO-000209 created in ERP
EVT-0000210,2026-02-21 00:00:00,PURCHASE_ORDER,PO-000210,PO_CREATED,Purchase order PO-000210 created in ERP
EVT-0000211,2026-06-28 00:00:00,PURCHASE_ORDER,PO-000211,PO_CREATED,Purchase order PO-000211 created in ERP
EVT-0000212,2026-05-14 00:00:00,PURCHASE_ORDER,PO-000212,PO_CREATED,Purchase order PO-000212 created in ERP
EVT-0000213,2026-04-16 00:00:00,PURCHASE_ORDER,PO-000213,PO_CREATED,Purchase order PO-000213 created in ERP
EVT-0000214,2026-04-25 00:00:00,PURCHASE_ORDER,PO-000214,PO_CREATED,Purchase order PO-000214 created in ERP
EVT-0000215,2026-02-11 00:00:00,PURCHASE_ORDER,PO-000215,PO_CREATED,Purchase order PO-000215 created in ERP
EVT-0000216,2026-02-26 00:00:00,PURCHASE_ORDER,PO-000216,PO_CREATED,Purchase order PO-000216 created in ERP
