INVOICE_ID,PO_ID,SUPPLIER_ID,INVOICE_DATE,CURRENCY,TOTAL_AMOUNT,STATUS
INV-000079,PO-000079,SUP-0030,2026-06-20,GBP,89888.69,RECEIVED
INV-000080,PO-000080,SUP-0113,2026-07-14,INR,101973.14,RECEIVED
INV-000081,PO-000081,SUP-0053,2026-04-20,EUR,56780.8,RECEIVED
INV-000082,PO-000082,SUP-0018,2026-03-28,USD,38621.85,RECEIVED
INV-000083,PO-000083,SUP-0007,2026-04-12,INR,101213.95,RECEIVED
INV-000084,PO-000084,SUP-0039,2026-03-06,GBP,140605.38,RECEIVED
INV-000085,PO-000085,SUP-0098,2026-09-15,USD,30867.56,RECEIVED
INV-000086,PO-000086,SUP-0059,2026-07-20,GBP,119348.84,RECEIVED
INV-000087,PO-000087,SUP-0098,2026-05-03,USD,21054.98,RECEIVED
INV-000088,PO-000088,SUP-0048,2026-07-11,USD,95840.42,RECEIVED
INV-000089,PO-000089,SUP-0031,2026-07-03,GBP,79205.17,RECEIVED
INV-000090,PO-000090,SUP-0049,2026-01-28,INR,95693.84,RECEIVED
INV-000091,PO-000091,SUP-0115,2026-04-02,EUR,32106.85,RECEIVED
INV-000092,PO-000092,SUP-0021,2026-06-22,GBP,125280.26,RECEIVED
INV-000093,PO-000093,SUP-0101,2026-06-02,EUR,34606.69,RECEIVED
INV-000094,PO-000094,SUP-0047,2026-02-10,INR,20309.8,RECEIVED
INV-000095,PO-000095,SUP-0088,2026-03-07,EUR,21256.59,RECEIVED
INV-000096,PO-000096,SUP-0077,2026-05-20,EUR,16492.37,RECEIVED
INV-000097,PO-000097,SUP-0043,2026-08-08,USD,123618.52,RECEIVED
INV-000098,PO-000098,SUP-0105,2026-04-19,GBP,17526.23,RECEIVED
INV-000099,PO-000099,SUP-0018,2026-03-15,USD,38275.91,RECEIVED
INV-000100,PO-000100,SUP-0022,2026-06-22,GBP,147549.43,RECEIVED
INV-000101,PO-000101,SUP-0014,2026-04-25,INR,138121.86,RECEIVED
INV-000102,PO-000102,SUP-0101,2026-06-16,EUR,72697.44,RECEIVED
INV-000103,PO-000103,SUP-0006,2026-01-15,GBP,127452.41,RECEIVED
INV-000104,PO-000104,SUP-0081,2026-03-19,INR,96251.59,RECEIVED
INV-000105,PO-000105,SUP-0086,2026-06-08,GBP,144904.5,RECEIVED
INV-000106,PO-000106,SUP-0089,2026-05-22,INR,58575.26,RECEIVED
INV-000107,PO-000107,SUP-0018,2026-09-01,USD,57899.65,RECEIVED
INV-000108,PO-000108,SUP-0096,2026-05-31,EUR,76865.49,RECEIVED
INV-000109,PO-000109,SUP-0111,2026-05-03,GBP,129860.93,RECEIVED
INV-000110,PO-000110,SUP-0073,2026-05-30,GBP,42522.21,RECEIVED
INV-000111,PO-000111,SUP-0092,2026-08-29,INR,37509.43,RECEIVED
INV-000112,PO-000112,SUP-0109,2026-08-08,EUR,80396.46,RECEIVED
INV-000113,PO-000113,SUP-0001,2026-03-04,EUR,149356.26,RECEIVED
INV-000114,PO-000114,SUP-0055,2026-07-16,USD,14729.96,RECEIVED
INV-000115,PO-000115,SUP-0014,2026-04-16,INR,132207.85,RECEIVED
INV-000116,PO-000116,SUP-0076,2026-04-23,USD,144505.68,RECEIVED
INV-000117,PO-000117,SUP-0027,2026-07-17,EUR,59066.78,RECEIVED
INV-000118,PO-000118,SUP-0120,2026-03-04,INR,58332.32,RECEIVED
INV-000119,PO-000119,SUP-0081,2026-04-27,USD,105420.69,RECEIVED
INV-000120,PO-000120,SUP-0076,2026-04-08,USD,104952.04,RECEIVED
INV-000121,PO-000121,SUP-0079,2026-04-04,INR,100078.9,RECEIVED
INV-000122,PO-000122,SUP-0045,2026-03-04,EUR,56094.48,RECEIVED
INV-000123,PO-000123,SUP-0009,2026-07-09,EUR,146270.06,RECEIVED
INV-000124,PO-000124,SUP-0061,2026-04-23,EUR,138073.87,RECEIVED
INV-000125,PO-000125,SUP-0054,2026-04-06,GBP,123986.55,RECEIVED
INV-000126,PO-000126,SUP-0006,2026-02-08,GBP,131610.19,RECEIVED
INV-000127,PO-000127,SUP-0064,2026-07-25,EUR,135116.27,RECEIVED
INV-000128,PO-000128,SUP-0109,2026-02-14,EUR,31176.56,RECEIVED
INV-000129,PO-000129,SUP-0073,2026-05-03,GBP,99535.37,RECEIVED
INV-000130,PO-000130,SUP-0026,2026-07-28,GBP,115636.92,RECEIVED
INV-000131,PO-000131,SUP-0058,2026-05-09,GBP,40118.69,RECEIVED
INV-000132,PO-000132,SUP-0107,2026-02-25,EUR,14136.33,RECEIVED
INV-000133,PO-000133,SUP-0016,2026-02-02,USD,124640.66,RECEIVED
INV-000134,PO-000134,SUP-0026,2026-08-20,GBP,19754.34,RECEIVED
INV-000135,PO-000135,SUP-0056,2026-06-07,GBP,4907.6,RECEIVED
INV-000136,PO-000136,SUP-0079,2026-07-14,INR,44618.22,RECEIVED
INV-000137,PO-000137,SUP-0050,2026-03-05,USD,4396.41,RECEIVED
INV-000138,PO-000138,SUP-0099,2026-02-28,USD,15470.08,RECEIVED
INV-000139,PO-000139,SUP-0073,2026-06-28,GBP,142281.09,RECEIVED
INV-000140,PO-000140,SUP-0092,2026-09-16,INR,120462.45,RECEIVED
INV-000141,PO-000141,SUP-0100,2026-08-31,EUR,79181.08,RECEIVED
INV-000142,PO-000142,SUP-0039,2026-03-06,GBP,146391.17,RECEIVED
INV-000143,PO-000143,SUP-0051,2026-03-05,GBP,90557.11,RECEIVED
INV-000144,PO-000144,SUP-0031,2026-03-31,GBP,25599.17,RECEIVED
INV-000145,PO-000145,SUP-0022,2026-06-01,GBP,132324.71,RECEIVED
INV-000146,PO-000146,SUP-0071,2026-04-30,INR,89307.57,RECEIVED
INV-000147,PO-000147,SUP-0007,2026-04-10,GBP,31229.8,RECEIVED
INV-000148,PO-000148,SUP-0062,2026-02-07,GBP,4347.49,RECEIVED
INV-000149,PO-000149,SUP-0024,2026-02-13,GBP,39862.75,RECEIVED
INV-000150,PO-000150,SUP-0008,2026-08-31,EUR,78626.05,RECEIVED
INV-000151,PO-000151,SUP-0022,2026-07-31,GBP,29312.55,RECEIVED
INV-000152,PO-000152,SUP-0101,2026-02-10,EUR,62459.14,RECEIVED
INV-000153,PO-000153,SUP-0113,2026-04-12,INR,57765.0,RECEIVED
INV-000154,PO-000154,SUP-0108,2026-08-17,USD,104579.34,RECEIVED
INV-000155,PO-000155,SUP-0117,2026-08-04,INR,72926.82,RECEIVED
INV-000156,PO-000156,SUP-0052,2026-07-23,EUR,127768.65,RECEIVED
INV-000157,PO-000157,SUP-0036,2026-08-27,GBP,69900.66,RECEIVED
INV-000158,PO-000158,SUP-0077,2026-03-20,EUR,144097.8,RECEIVED
INV-000159,PO-000159,SUP-0087,2026-04-14,INR,97912.31,RECEIVED
INV-000160,PO-000160,SUP-0077,2026-03-21,EUR,38232.37,RECEIVED
INV-000161,PO-000161,SUP-0066,2026-06-14,GBP,97277.65,RECEIVED
INV-000162,PO-000162,SUP-0104,2026-06-30,GBP,48278.07,RECEIVED
INV-000163,PO-000163,SUP-0052,2026-07-23,EUR,5780.19,RECEIVED
INV-000164,PO-000164,SUP-0084,2026-03-20,EUR,53614.87,RECEIVED
INV-000165,PO-000165,SUP-0007,2026-03-01,GBP,148856.0,RECEIVED
INV-000166,PO-000166,SUP-0101,2026-03-05,EUR,92364.72,RECEIVED
INV-000167,PO-000167,SUP-0040,2026-02-18,USD,57840.8,RECEIVED
INV-000168,PO-000168,SUP-0044,2026-04-15,USD,112642.28,RECEIVED
INV-000169,PO-000169,SUP-0084,2026-02-11,EUR,103617.59,RECEIVED
INV-000170,PO-000170,SUP-0093,2026-03-23,GBP,17544.88,RECEIVED
INV-000171,PO-000171,SUP-0117,2026-09-05,INR,86335.84,RECEIVED
INV-000172,PO-000172,SUP-0013,2026-09-02,INR,6396.96,RECEIVED
INV-000173,PO-000173,SUP-0113,2026-04-20,INR,122337.16,RECEIVED
INV-000174,PO-000174,SUP-0089,2026-08-06,GBP,63550.1,RECEIVED
INV-000175,PO-000175,SUP-0117,2026-08-25,INR,85557.04,RECEIVED
INV-000176,PO-000176,SUP-0114,2026-05-12,EUR,7372.86,RECEIVED
INV-000177,PO-000177,SUP-0115,2026-01-16,EUR,96688.11,RECEIVED
INV-000178,PO-000178,SUP-0110,2026-05-29,USD,47751.2,RECEIVED
INV-000179,PO-000179,SUP-0071,2026-08-22,INR,14088.88,RECEIVED
INV-000180,PO-000180,SUP-0077,2026-08-03,EUR,98746.5,RECEIVED
INV-000181,PO-000181,SUP-0107,2026-05-30,EUR,78536.77,RECEIVED
INV-000182,PO-000182,SUP-0014,2026-06-16,INR,29790.26,RECEIVED
INV-000183,PO-000183,SUP-0095,2026-06-24,GBP,140328.59,RECEIVED
INV-000184,PO-000184,SUP-0078,2026-04-05,EUR,59981.56,RECEIVED
INV-000185,PO-000185,SUP-0092,2026-07-06,INR,52121.39,RECEIVED
INV-000186,PO-000186,SUP-0104,2026-06-10,GBP,16417.33,RECEIVED
INV-000187,PO-000187,SUP-0027,2026-04-11,EUR,122196.92,RECEIVED
INV-000188,PO-000188,SUP-0101,2026-06-10,EUR,8543.43,RECEIVED
INV-000189,PO-000189,SUP-0023,2026-03-24,EUR,144390.05,RECEIVED
INV-000190,PO-000190,SUP-0034,2026-03-02,GBP,87805.92,RECEIVED
INV-000191,PO-000191,SUP-0119,2026-06-24,INR,8102.89,RECEIVED
INV-000192,PO-000192,SUP-0085,2026-04-11,GBP,54439.27,RECEIVED
INV-000193,PO-000193,SUP-0103,2026-05-20,GBP,7055.82,RECEIVED
INV-000194,PO-000194,SUP-0107,2026-06-22,EUR,122604.78,RECEIVED
INV-000195,PO-000195,SUP-0010,2026-09-18,INR,39167.87,RECEIVED
INV-000196,PO-000196,SUP-0037,2026-04-12,INR,59569.43,RECEIVED
INV-000197,PO-000197,SUP-0040,2026-08-05,USD,111343.86,RECEIVED
INV-000198,PO-000198,SUP-0086,2026-09-07,GBP,112780.75,RECEIVED
INV-000199,PO-000199,SUP-0093,2026-04-13,GBP,53892.18,RECEIVED
INV-000200,PO-000200,SUP-0058,2026-06-19,GBP,99083.63,RECEIVED
INV-000201,PO-000201,SUP-0046,2026-05-19,USD,82974.94,RECEIVED
INV-000202,PO-000202,SUP-0094,2026-07-10,USD,11772.29,RECEIVED
INV-000203,PO-000203,SUP-0071,2026-06-22,INR,134150.9,RECEIVED
INV-000204,PO-000204,SUP-0051,2026-05-27,GBP,2083.46,RECEIVED
INV-000205,PO-000205,SUP-0029,2026-03-27,USD,9897.74,RECEIVED
INV-000206,PO-000206,SUP-0014,2026-08-16,INR,111415.5,RECEIVED
INV-000207,PO-000207,SUP-0022,2026-02-09,GBP,77423.92,RECEIVED
INV-000208,PO-000208,SUP-0062,2026-05-16,GBP,32000.24,RECEIVED
INV-000209,PO-000209,SUP-0113,2026-02-24,INR,32880.72,RECEIVED
INV-000210,PO-000210,SUP-0014,2026-03-28,INR,78645.35,RECEIVED
INV-000211,PO-000211,SUP-0112,2026-07-15,EUR,79707.57,RECEIVED
INV-000212,PO-000212,SUP-0074,2026-05-30,EUR,1575.51,RECEIVED
INV-000213,PO-000213,SUP-0097,2026-05-19,GBP,83039.69,RECEIVED
INV-000214,PO-000214,SUP-0096,2026-05-08,EUR,117574.83,RECEIVED
INV-000215,PO-000215,SUP-0090,2026-02-14,USD,58671.0,RECEIVED
INV-000216,PO-000216,SUP-0009,2026-03-03,EUR,55939.85,RECEIVED
INV-000217,PO-000217,SUP-0047,2026-06-30,INR,542.95,RECEIVED
INV-000218,PO-000218,SUP-0052,2026-05-20,EUR,2797.3,RECEIVED
INV-000219,PO-000219,SUP-0045,2026-03-14,EUR,91151.33,RECEIVED
INV-000220,PO-000220,SUP-0062,2026-08-14,GBP,51279.28,RECEIVED
INV-000221,PO-000221,SUP-0052,2026-02-03,EUR,83405.45,RECEIVED
INV-000222,PO-000222,SUP-0016,2026-07-27,USD,143389.06,RECEIVED
INV-000223,PO-000223,SUP-0041,2026-09-07,USD,147811.52,RECEIVED
INV-000224,PO-000224,SUP-0059,2026-07-12,INR,1758.58,RECEIVED
INV-000225,PO-000225,SUP-0047,2026-03-24,INR,67883.98,RECEIVED
INV-000226,PO-000226,SUP-0061,2026-02-26,EUR,63517.34,RECEIVED
INV-000227,PO-000227,SUP-0058,2026-03-27,GBP,54463.82,RECEIVED
INV-000228,PO-000228,SUP-0079,2026-05-11,INR,94940.97,RECEIVED
INV-000229,PO-000229,SUP-0044,2026-04-12,USD,47873.3,RECEIVED
INV-000230,PO-000230,SUP-0096,2026-03-04,EUR,25453.11,RECEIVED
INV-000231,PO-000231,SUP-0099,2026-05-23,USD,114866.96,RECEIVED
INV-000232,PO-000232,SUP-0040,2026-04-05,USD,110770.19,RECEIVED
INV-000233,PO-000233,SUP-0071,2026-02-18,INR,145446.57,RECEIVED
INV-000234,PO-000234,SUP-0067,2026-04-02,USD,43370.96,RECEIVED
INV-000235,PO-000235,SUP-0034,2026-05-09,GBP,93985.79,RECEIVED
INV-000236,PO-000236,SUP-0063,2026-03-30,INR,3399.61,RECEIVED
INV-000237,PO-000237,SUP-0092,2026-07-14,INR,1726.51,RECEIVED
INV-000238,PO-000238,SUP-0043,2026-08-16,USD,112710.15,RECEIVED
INV-000239,PO-000239,SUP-0024,2026-09-14,USD,126310.12,RECEIVED
INV-000240,PO-000240,SUP-0095,2026-03-01,GBP,69394.78,RECEIVED
INV-000241,PO-000241,SUP-0033,2026-07-09,USD,45172.56,RECEIVED
INV-000242,PO-000242,SUP-0042,2026-02-22,USD,119261.36,RECEIVED
INV-000243,PO-000243,SUP-0090,2026-02-25,USD,73432.51,RECEIVED
INV-000244,PO-000244,SUP-0025,2026-06-21,USD,52475.87,RECEIVED
INV-000245,PO-000245,SUP-0114,2026-06-26,EUR,128595.98,RECEIVED
INV-000246,PO-000246,SUP-0085,2026-01-23,EUR,125361.41,RECEIVED
INV-000247,PO-000247,SUP-0085,2026-06-03,GBP,93783.59,RECEIVED
INV-000248,PO-000248,SUP-0002,2026-06-25,USD,73965.12,RECEIVED
INV-000249,PO-000249,SUP-0025,2026-05-29,USD,98703.04,RECEIVED
INV-000250,PO-000250,SUP-0109,2026-05-16,EUR,114745.56,RECEIVED
INV-000251,PO-000251,SUP-0003,2026-09-07,EUR,45625.33,RECEIVED
INV-000252,PO-000252,SUP-0046,2026-02-23,USD,40115.73,RECEIVED
INV-000253,PO-000253,SUP-0102,2026-02-23,GBP,73497.32,RECEIVED
INV-000254,PO-000254,SUP-0068,2026-04-04,INR,81219.49,RECEIVED
INV-000255,PO-000255,SUP-0061,2026-05-29,EUR,60179.1,RECEIVED
INV-000256,PO-000256,SUP-0086,2026-05-04,GBP,55107.51,RECEIVED
INV-000257,PO-000257,SUP-0015,2026-03-16,EUR,142366.67,RECEIVED
INV-000258,PO-000258,SUP-0071,2026-06-21,INR,109623.58,RECEIVED
INV-000259,PO-000259,SUP-0037,2026-08-11,EUR,104630.74,RECEIVED
INV-000260,PO-000260,SUP-0085,2026-04-07,GBP,129710.2,RECEIVED
INV-000261,PO-000261,SUP-0072,2026-02-02,EUR,37485.12,RECEIVED
INV-000262,PO-000262,SUP-0113,2026-08-20,INR,149992.79,RECEIVED
INV-000263,PO-000263,SUP-0020,2026-04-14,EUR,136505.44,RECEIVED
INV-000264,PO-000264,SUP-0093,2026-03-01,GBP,47980.84,RECEIVED
INV-000265,PO-000265,SUP-0096,2026-02-17,EUR,116976.63,RECEIVED
INV-000266,PO-000266,SUP-0088,2026-05-05,EUR,12381.58,RECEIVED
INV-000267,PO-000267,SUP-0029,2026-04-18,USD,114798.56,RECEIVED
INV-000268,PO-000268,SUP-0078,2026-07-09,EUR,47278.17,RECEIVED
INV-000269,PO-000269,SUP-0069,2026-08-04,EUR,6368.12,RECEIVED
INV-000270,PO-000270,SUP-0100,2026-05-20,EUR,25389.75,RECEIVED
INV-000271,PO-000271,SUP-0012,2026-02-27,EUR,116920.31,RECEIVED
INV-000272,PO-000272,SUP-0094,2026-04-12,USD,82776.71,RECEIVED
INV-000273,PO-000273,SUP-0037,2026-02-15,EUR,134832.02,RECEIVED
INV-000274,PO-000274,SUP-0110,2026-06-23,USD,121214.46,RECEIVED
INV-000275,PO-000275,SUP-0080,2026-01-19,INR,28133.58,RECEIVED
INV-000276,PO-000276,SUP-0079,2026-05-23,INR,112525.55,RECEIVED
INV-000277,PO-000277,SUP-0105,2026-07-21,GBP,64384.91,RECEIVED
INV-000278,PO-000278,SUP-0012,2026-07-26,USD,103453.81,RECEIVED
INV-000279,PO-000279,SUP-0004,2026-06-26,EUR,119611.52,RECEIVED
INV-000280,PO-000280,SUP-0044,2026-07-09,USD,85553.77,RECEIVED
INV-000281,PO-000281,SUP-0081,2026-09-10,USD,129851.04,RECEIVED
INV-000282,PO-000282,SUP-0108,2026-06-10,USD,91050.52,RECEIVED
INV-000283,PO-000283,SUP-0012,2026-09-13,USD,36027.52,RECEIVED
INV-000284,PO-000284,SUP-0044,2026-07-29,USD,131144.92,RECEIVED
INV-000285,PO-000285,SUP-0112,2026-04-01,EUR,70297.95,RECEIVED
INV-000286,PO-000286,SUP-0082,2026-04-14,GBP,30483.05,RECEIVED
INV-000287,PO-000287,SUP-0071,2026-04-01,INR,21662.75,RECEIVED
INV-000288,PO-000288,SUP-0061,2026-02-05,EUR,57848.15,RECEIVED
INV-000289,PO-000289,SUP-0088,2026-05-18,EUR,35138.28,RECEIVED
INV-000290,PO-000290,SUP-0004,2026-06-04,GBP,17376.62,RECEIVED
INV-000291,PO-000291,SUP-0071,2026-05-28,INR,57880.56,RECEIVED
INV-000292,PO-000292,SUP-0095,2026-03-03,INR,89028.39,RECEIVED
INV-000293,PO-000293,SUP-0012,2026-08-01,USD,21268.05,RECEIVED
INV-000294,PO-000294,SUP-0039,2026-09-23,GBP,141528.33,RECEIVED
INV-000295,PO-000295,SUP-0031,2026-07-22,GBP,88729.5,RECEIVED
INV-000296,PO-000296,SUP-0083,2026-03-12,INR,108340.22,RECEIVED
INV-000297,PO-000297,SUP-0064,2026-07-31,EUR,75508.46,RECEIVED
INV-000298,PO-000298,SUP-0114,2026-03-11,EUR,71131.51,RECEIVED
INV-000299,PO-000299,SUP-0022,2026-07-19,GBP,138468.25,RECEIVED
INV-000300,PO-000300,SUP-0033,2026-06-26,USD,42505.3,RECEIVED
INV-000301,PO-000301,SUP-0085,2026-04-24,GBP,121272.18,RECEIVED
INV-000302,PO-000302,SUP-0097,2026-08-17,GBP,57783.47,RECEIVED
INV-000303,PO-000303,SUP-0061,2026-05-19,EUR,112049.51,RECEIVED
INV-000304,PO-000304,SUP-0043,2026-03-29,USD,120446.3,RECEIVED
INV-000305,PO-000305,SUP-0093,2026-03-10,GBP,29365.39,RECEIVED
INV-000306,PO-000306,SUP-0091,2026-02-03,USD,128537.9,RECEIVED
INV-000307,PO-000307,SUP-0049,2026-04-15,INR,149395.81,RECEIVED
INV-000308,PO-000308,SUP-0079,2026-09-10,INR,66516.47,RECEIVED
INV-000309,PO-000309,SUP-0100,2026-01-17,EUR,134528.6,RECEIVED
INV-000310,PO-000310,SUP-0116,2026-07-01,EUR,1053.71,RECEIVED
INV-000311,PO-000311,SUP-0110,2026-02-11,USD,126256.65,RECEIVED
INV-000312,PO-000312,SUP-0063,2026-08-30,INR,95102.29,RECEIVED
INV-000313,PO-000313,SUP-0083,2026-06-08,INR,80324.04,RECEIVED
INV-000314,PO-000314,SUP-0052,2026-03-28,EUR,121162.0,RECEIVED
INV-000315,PO-000315,SUP-0032,2026-01-10,USD,26251.23,RECEIVED
INV-000316,PO-000316,SUP-0104,2026-04-05,GBP,18559.96,RECEIVED
INV-000317,PO-000317,SUP-0032,2026-03-03,USD,16526.35,RECEIVED
INV-000318,PO-000318,SUP-0089,2026-07-09,GBP,19470.42,RECEIVED
INV-000319,PO-000319,SUP-0001,2026-02-28,EUR,18067.42,RECEIVED
INV-000320,PO-000320,SUP-0086,2026-02-04,GBP,96906.7,RECEIVED
INV-000321,PO-000321,SUP-0021,2026-05-12,GBP,77478.11,RECEIVED
INV-000322,PO-000322,SUP-0031,2026-08-28,GBP,30393.4,RECEIVED
INV-000323,PO-000323,SUP-0028,2026-02-26,INR,58405.88,RECEIVED
INV-000324,PO-000324,SUP-0021,2026-06-14,GBP,145535.31,RECEIVED
INV-000325,PO-000325,SUP-0108,2026-04-12,USD,2668.33,RECEIVED
INV-000326,PO-000326,SUP-0006,2026-06-05,GBP,110154.71,RECEIVED
INV-000327,PO-000327,SUP-0058,2026-03-06,GBP,12922.18,RECEIVED
INV-000328,PO-000328,SUP-0024,2026-06-13,GBP,69912.22,RECEIVED
INV-000329,PO-000329,SUP-0055,2026-07-14,USD,141941.28,RECEIVED
INV-000330,PO-000330,SUP-0114,2026-03-02,EUR,57751.77,RECEIVED
INV-000331,PO-000331,SUP-0091,2026-06-09,USD,106545.9,RECEIVED
INV-000332,PO-000332,SUP-0115,2026-05-29,EUR,102193.9,RECEIVED
INV-000333,PO-000333,SUP-0065,2026-05-22,GBP,106618.88,RECEIVED
