CONTRACT_ID,SUPPLIER_ID,CONTRACT_START,CONTRACT_END,CURRENCY,PAYMENT_TERMS,STATUS
CON-0061,SUP-0061,2025-08-11,2027-08-11,EUR,NET60,ACTIVE
CON-0062,SUP-0062,2025-11-12,2027-11-12,GBP,NET90,ACTIVE
CON-0063,SUP-0063,2025-08-12,2027-08-12,INR,NET60,ACTIVE
CON-0064,SUP-0064,2026-03-13,2028-03-12,EUR,NET30,ACTIVE
CON-0065,SUP-0065,2025-05-23,2027-05-23,GBP,NET45,ACTIVE
CON-0066,SUP-0066,2026-01-20,2028-01-20,GBP,NET90,ACTIVE
CON-0067,SUP-0067,2025-06-22,2027-06-22,USD,NET90,ACTIVE
CON-0068,SUP-0068,2026-03-12,2028-03-11,INR,NET45,ACTIVE
CON-0069,SUP-0069,2025-09-07,2027-09-07,EUR,NET60,ACTIVE
CON-0070,SUP-0070,2026-02-13,2028-02-13,INR,NET60,ACTIVE
CON-0071,SUP-0071,2025-05-24,2027-05-24,INR,NET30,ACTIVE
CON-0072,SUP-0072,2025-09-22,2027-09-22,EUR,NET30,ACTIVE
CON-0073,SUP-0073,2025-05-04,2027-05-04,GBP,NET90,ACTIVE
CON-0074,SUP-0074,2025-10-12,2027-10-12,EUR,NET90,ACTIVE
CON-0075,SUP-0075,2025-11-27,2027-11-27,GBP,NET90,ACTIVE
CON-0076,SUP-0076,2026-02-10,2028-02-10,USD,NET30,ACTIVE
CON-0077,SUP-0077,2025-05-31,2027-05-31,EUR,NET90,ACTIVE
CON-0078,SUP-0078,2025-12-21,2027-12-21,EUR,NET60,ACTIVE
CON-0079,SUP-0079,2025-12-06,2027-12-06,INR,NET90,ACTIVE
CON-0080,SUP-0080,2025-10-11,2027-10-11,INR,NET90,ACTIVE
CON-0081,SUP-0081,2026-01-17,2028-01-17,INR,NET60,ACTIVE
CON-0082,SUP-0082,2025-12-26,2027-12-26,GBP,NET60,ACTIVE
CON-0083,SUP-0083,2025-06-06,2027-06-06,INR,NET45,ACTIVE
CON-0084,SUP-0084,2025-03-03,2027-03-03,EUR,NET60,ACTIVE
CON-0085,SUP-0085,2025-03-03,2027-03-03,EUR,NET45,ACTIVE
CON-0086,SUP-0086,2025-04-21,2027-04-21,GBP,NET60,ACTIVE
CON-0087,SUP-0087,2026-01-06,2028-01-06,INR,NET30,ACTIVE
CON-0088,SUP-0088,2026-03-03,2028-03-02,EUR,NET60,ACTIVE
CON-0089,SUP-0089,2025-04-27,2027-04-27,INR,NET45,ACTIVE
CON-0090,SUP-0090,2025-06-04,2027-06-04,USD,NET45,ACTIVE
CON-0091,SUP-0091,2025-05-21,2027-05-21,USD,NET30,ACTIVE
CON-0092,SUP-0092,2025-10-11,2027-10-11,INR,NET30,ACTIVE
CON-0093,SUP-0093,2025-11-23,2027-11-23,GBP,NET30,ACTIVE
CON-0094,SUP-0094,2026-03-23,2028-03-22,USD,NET60,ACTIVE
CON-0095,SUP-0095,2025-08-29,2027-08-29,GBP,NET90,ACTIVE
CON-0096,SUP-0096,2025-06-24,2027-06-24,EUR,NET30,ACTIVE
CON-0097,SUP-0097,2025-05-10,2027-05-10,GBP,NET30,ACTIVE
CON-0098,SUP-0098,2026-02-25,2028-02-25,USD,NET90,ACTIVE
CON-0099,SUP-0099,2025-09-09,2027-09-09,USD,NET30,ACTIVE
CON-0100,SUP-0100,2025-03-19,2027-03-19,EUR,NET60,ACTIVE
CON-0101,SUP-0101,2025-02-13,2027-02-13,EUR,NET30,ACTIVE
CON-0102,SUP-0102,2025-10-13,2027-10-13,GBP,NET45,ACTIVE
CON-0103,SUP-0103,2026-02-02,2028-02-02,GBP,NET90,ACTIVE
CON-0104,SUP-0104,2026-04-11,2028-04-10,GBP,NET60,ACTIVE
CON-0105,SUP-0105,2026-03-17,2028-03-16,GBP,NET60,ACTIVE
CON-0106,SUP-0106,2025-10-19,2027-10-19,USD,NET30,ACTIVE
CON-0107,SUP-0107,2026-05-01,2028-04-30,EUR,NET45,ACTIVE
CON-0108,SUP-0108,2025-05-16,2027-05-16,USD,NET45,ACTIVE
CON-0109,SUP-0109,2025-05-03,2027-05-03,EUR,NET30,ACTIVE
CON-0110,SUP-0110,2025-03-22,2027-03-22,USD,NET90,ACTIVE
CON-0111,SUP-0111,2025-08-19,2027-08-19,GBP,NET60,ACTIVE
CON-0112,SUP-0112,2025-01-17,2027-01-17,EUR,NET60,ACTIVE
CON-0113,SUP-0113,2025-12-28,2027-12-28,INR,NET90,ACTIVE
CON-0114,SUP-0114,2025-02-06,2027-02-06,EUR,NET60,ACTIVE
CON-0115,SUP-0115,2026-02-08,2028-02-08,EUR,NET90,ACTIVE
CON-0116,SUP-0116,2025-02-28,2027-02-28,EUR,NET45,ACTIVE
CON-0117,SUP-0117,2026-04-11,2028-04-10,INR,NET45,ACTIVE
CON-0118,SUP-0118,2025-02-06,2027-02-06,USD,NET45,ACTIVE
CON-0119,SUP-0119,2026-02-10,2028-02-10,INR,NET60,ACTIVE
CON-0120,SUP-0120,2025-08-13,2027-08-13,USD,NET90,ACTIVE
CON-0121,SUP-0089,2025-06-05,2027-06-05,GBP,NET60,ACTIVE
CON-0122,SUP-0065,2025-10-04,2027-10-04,GBP,NET90,ACTIVE
CON-0123,SUP-0011,2025-11-03,2027-11-03,USD,NET90,ACTIVE
CON-0124,SUP-0095,2025-06-15,2027-06-15,INR,NET30,ACTIVE
CON-0125,SUP-0012,2025-04-28,2027-04-28,USD,NET60,ACTIVE
CON-0126,SUP-0074,2025-01-21,2027-01-21,EUR,NET90,ACTIVE
CON-0127,SUP-0067,2025-11-30,2027-11-30,GBP,NET60,ACTIVE
CON-0128,SUP-0024,2025-10-27,2027-10-27,GBP,NET90,ACTIVE
CON-0129,SUP-0012,2025-08-29,2027-08-29,INR,NET90,ACTIVE
CON-0130,SUP-0043,2025-06-14,2027-06-14,USD,NET45,ACTIVE
CON-0131,SUP-0043,2025-07-30,2027-07-30,GBP,NET60,ACTIVE
CON-0132,SUP-0085,2026-04-29,2028-04-28,GBP,NET30,ACTIVE
CON-0133,SUP-0059,2025-02-15,2027-02-15,INR,NET60,ACTIVE
CON-0134,SUP-0042,2025-03-01,2027-03-01,GBP,NET30,ACTIVE
CON-0135,SUP-0085,2026-03-22,2028-03-21,GBP,NET90,ACTIVE
CON-0136,SUP-0007,2025-04-07,2027-04-07,INR,NET90,ACTIVE
CON-0137,SUP-0081,2025-08-15,2027-08-15,USD,NET45,ACTIVE
CON-0138,SUP-0035,2025-10-09,2027-10-09,EUR,NET60,ACTIVE
CON-0139,SUP-0057,2026-03-27,2028-03-26,GBP,NET30,ACTIVE
CON-0140,SUP-0004,2026-05-14,2028-05-13,EUR,NET45,ACTIVE
CON-0141,SUP-0040,2025-10-10,2027-10-10,USD,NET90,ACTIVE
CON-0142,SUP-0012,2025-04-26,2027-04-26,USD,NET90,ACTIVE
CON-0143,SUP-0016,2025-11-28,2027-11-28,EUR,NET90,ACTIVE
CON-0144,SUP-0120,2026-01-02,2028-01-02,INR,NET60,ACTIVE
CON-0145,SUP-0054,2026-03-04,2028-03-03,GBP,NET90,ACTIVE
CON-0146,SUP-0032,2025-08-22,2027-08-22,EUR,NET90,ACTIVE
CON-0147,SUP-0025,2026-04-17,2028-04-16,EUR,NET30,ACTIVE
CON-0148,SUP-0036,2026-01-31,2028-01-31,GBP,NET60,ACTIVE
CON-0149,SUP-0120,2026-02-08,2028-02-08,INR,NET30,ACTIVE
CON-0150,SUP-0037,2026-01-07,2028-01-07,INR,NET90,ACTIVE
