PO_ID,SUPPLIER_ID,CONTRACT_ID,PO_DATE,CURRENCY,TOTAL_AMOUNT,STATUS
PO-000053,SUP-0042,CON-0042,2026-03-30,USD,142148.73,OPEN
PO-000054,SUP-0081,CON-0137,2026-06-07,USD,80254.97,OPEN
PO-000055,SUP-0011,CON-0011,2026-06-14,GBP,115767.84,OPEN
PO-000056,SUP-0039,CON-0039,2026-01-19,GBP,103447.73,OPEN
PO-000057,SUP-0016,CON-0143,2026-04-26,EUR,37563.87,OPEN
PO-000058,SUP-0105,CON-0105,2026-08-28,GBP,86864.21,OPEN
PO-000059,SUP-0065,CON-0122,2026-03-03,GBP,32664.09,OPEN
PO-000060,SUP-0037,CON-0037,2026-08-05,EUR,16570.81,OPEN
PO-000061,SUP-0036,CON-0036,2026-02-02,INR,146274.88,OPEN
PO-000062,SUP-0059,CON-0059,2026-06-05,GBP,134023.19,OPEN
PO-000063,SUP-0043,CON-0131,2026-01-29,GBP,146994.76,OPEN
PO-000064,SUP-0074,CON-0074,2026-07-04,EUR,8177.6,OPEN
PO-000065,SUP-0041,CON-0041,2026-02-08,USD,62237.54,OPEN
PO-000066,SUP-0079,CON-0079,2026-02-19,INR,143621.94,OPEN
PO-000067,SUP-0049,CON-0049,2026-07-29,INR,52097.63,OPEN
PO-000068,SUP-0018,CON-0018,2026-06-07,USD,111263.2,OPEN
PO-000069,SUP-0001,CON-0001,2026-04-15,EUR,98107.47,OPEN
PO-000070,SUP-0113,CON-0113,2026-01-03,INR,45109.64,OPEN
PO-000071,SUP-0092,CON-0092,2026-01-04,INR,110624.38,OPEN
PO-000072,SUP-0062,CON-0062,2026-08-28,GBP,37583.04,OPEN
PO-000073,SUP-0089,CON-0089,2026-06-13,INR,137461.49,OPEN
PO-000074,SUP-0098,CON-0098,2026-06-24,USD,113333.56,OPEN
PO-000075,SUP-0116,CON-0116,2026-07-27,EUR,8817.55,OPEN
PO-000076,SUP-0037,CON-0150,2026-02-16,INR,115461.32,OPEN
PO-000077,SUP-0107,CON-0107,2026-07-13,EUR,3898.93,OPEN
PO-000078,SUP-0013,CON-0013,2026-04-25,INR,89868.84,OPEN
PO-000079,SUP-0030,CON-0030,2026-05-28,GBP,89888.69,OPEN
PO-000080,SUP-0113,CON-0113,2026-06-10,INR,101973.14,OPEN
PO-000081,SUP-0053,CON-0053,2026-03-18,EUR,56780.8,OPEN
PO-000082,SUP-0018,CON-0018,2026-03-04,USD,38621.85,OPEN
PO-000083,SUP-0007,CON-0136,2026-04-07,INR,101213.95,OPEN
PO-000084,SUP-0039,CON-0039,2026-02-24,GBP,140605.38,OPEN
PO-000085,SUP-0098,CON-0098,2026-08-23,USD,30867.56,OPEN
PO-000086,SUP-0059,CON-0059,2026-07-07,GBP,119348.84,OPEN
PO-000087,SUP-0098,CON-0098,2026-04-16,USD,21054.98,OPEN
PO-000088,SUP-0048,CON-0048,2026-06-08,USD,95840.42,OPEN
PO-000089,SUP-0031,CON-0031,2026-06-08,GBP,79205.17,OPEN
PO-000090,SUP-0049,CON-0049,2026-01-15,INR,95693.84,OPEN
PO-000091,SUP-0115,CON-0115,2026-02-28,EUR,32106.85,OPEN
PO-000092,SUP-0021,CON-0021,2026-05-26,GBP,125280.26,OPEN
PO-000093,SUP-0101,CON-0101,2026-05-06,EUR,34606.69,OPEN
PO-000094,SUP-0047,CON-0047,2026-01-27,INR,20309.8,OPEN
PO-000095,SUP-0088,CON-0088,2026-02-13,EUR,21256.59,OPEN
PO-000096,SUP-0077,CON-0077,2026-04-28,EUR,16492.37,OPEN
PO-000097,SUP-0043,CON-0130,2026-07-28,USD,123618.52,OPEN
PO-000098,SUP-0105,CON-0105,2026-04-04,GBP,17526.23,OPEN
PO-000099,SUP-0018,CON-0018,2026-03-03,USD,38275.91,OPEN
PO-000100,SUP-0022,CON-0022,2026-05-25,GBP,147549.43,OPEN
PO-000101,SUP-0014,CON-0014,2026-04-17,INR,138121.86,OPEN
PO-000102,SUP-0101,CON-0101,2026-05-14,EUR,72697.44,OPEN
PO-000103,SUP-0006,CON-0006,2026-01-06,GBP,127452.41,OPEN
PO-000104,SUP-0081,CON-0081,2026-02-17,INR,96251.59,OPEN
PO-000105,SUP-0086,CON-0086,2026-05-16,GBP,144904.5,OPEN
PO-000106,SUP-0089,CON-0089,2026-05-11,INR,58575.26,OPEN
PO-000107,SUP-0018,CON-0018,2026-07-28,USD,57899.65,OPEN
PO-000108,SUP-0096,CON-0096,2026-05-21,EUR,76865.49,OPEN
PO-000109,SUP-0111,CON-0111,2026-04-23,GBP,129860.93,OPEN
PO-000110,SUP-0073,CON-0073,2026-05-17,GBP,42522.21,OPEN
PO-000111,SUP-0092,CON-0092,2026-08-01,INR,37509.43,OPEN
PO-000112,SUP-0109,CON-0109,2026-07-23,EUR,80396.46,OPEN
PO-000113,SUP-0001,CON-0001,2026-02-21,EUR,149356.26,OPEN
PO-000114,SUP-0055,CON-0055,2026-06-30,USD,14729.96,OPEN
PO-000115,SUP-0014,CON-0014,2026-04-05,INR,132207.85,OPEN
PO-000116,SUP-0076,CON-0076,2026-03-31,USD,144505.68,OPEN
PO-000117,SUP-0027,CON-0027,2026-07-11,EUR,59066.78,OPEN
PO-000118,SUP-0120,CON-0144,2026-02-03,INR,58332.32,OPEN
PO-000119,SUP-0081,CON-0137,2026-04-19,USD,105420.69,OPEN
PO-000120,SUP-0076,CON-0076,2026-03-21,USD,104952.04,OPEN
PO-000121,SUP-0079,CON-0079,2026-03-21,INR,100078.9,OPEN
PO-000122,SUP-0045,CON-0045,2026-02-12,EUR,56094.48,OPEN
PO-000123,SUP-0009,CON-0009,2026-07-02,EUR,146270.06,OPEN
PO-000124,SUP-0061,CON-0061,2026-04-09,EUR,138073.87,OPEN
PO-000125,SUP-0054,CON-0145,2026-03-11,GBP,123986.55,OPEN
PO-000126,SUP-0006,CON-0006,2026-01-18,GBP,131610.19,OPEN
PO-000127,SUP-0064,CON-0064,2026-07-07,EUR,135116.27,OPEN
PO-000128,SUP-0109,CON-0109,2026-01-27,EUR,31176.56,OPEN
PO-000129,SUP-0073,CON-0073,2026-04-22,GBP,99535.37,OPEN
PO-000130,SUP-0026,CON-0026,2026-07-19,GBP,115636.92,OPEN
PO-000131,SUP-0058,CON-0058,2026-04-29,GBP,40118.69,OPEN
PO-000132,SUP-0107,CON-0107,2026-02-07,EUR,14136.33,OPEN
PO-000133,SUP-0016,CON-0016,2026-01-16,USD,124640.66,OPEN
PO-000134,SUP-0026,CON-0026,2026-07-27,GBP,19754.34,OPEN
PO-000135,SUP-0056,CON-0056,2026-05-08,GBP,4907.6,OPEN
PO-000136,SUP-0079,CON-0079,2026-06-15,INR,44618.22,OPEN
PO-000137,SUP-0050,CON-0050,2026-02-16,USD,4396.41,OPEN
PO-000138,SUP-0099,CON-0099,2026-02-10,USD,15470.08,OPEN
PO-000139,SUP-0073,CON-0073,2026-05-25,GBP,142281.09,OPEN
PO-000140,SUP-0092,CON-0092,2026-08-24,INR,120462.45,OPEN
PO-000141,SUP-0100,CON-0100,2026-08-05,EUR,79181.08,OPEN
PO-000142,SUP-0039,CON-0039,2026-02-04,GBP,146391.17,OPEN
PO-000143,SUP-0051,CON-0051,2026-02-16,GBP,90557.11,OPEN
PO-000144,SUP-0031,CON-0031,2026-03-23,GBP,25599.17,OPEN
PO-000145,SUP-0022,CON-0022,2026-05-07,GBP,132324.71,OPEN
PO-000146,SUP-0071,CON-0071,2026-03-28,INR,89307.57,OPEN
PO-000147,SUP-0007,CON-0007,2026-03-26,GBP,31229.8,OPEN
PO-000148,SUP-0062,CON-0062,2026-01-25,GBP,4347.49,OPEN
PO-000149,SUP-0024,CON-0128,2026-01-12,GBP,39862.75,OPEN
PO-000150,SUP-0008,CON-0008,2026-07-29,EUR,78626.05,OPEN
PO-000151,SUP-0022,CON-0022,2026-07-26,GBP,29312.55,OPEN
PO-000152,SUP-0101,CON-0101,2026-01-29,EUR,62459.14,OPEN
PO-000153,SUP-0113,CON-0113,2026-03-09,INR,57765.0,OPEN
PO-000154,SUP-0108,CON-0108,2026-08-08,USD,104579.34,OPEN
PO-000155,SUP-0117,CON-0117,2026-07-09,INR,72926.82,OPEN
PO-000156,SUP-0052,CON-0052,2026-07-19,EUR,127768.65,OPEN
PO-000157,SUP-0036,CON-0148,2026-07-30,GBP,69900.66,OPEN
PO-000158,SUP-0077,CON-0077,2026-02-15,EUR,144097.8,OPEN
PO-000159,SUP-0087,CON-0087,2026-03-10,INR,97912.31,OPEN
PO-000160,SUP-0077,CON-0077,2026-02-27,EUR,38232.37,OPEN
PO-000161,SUP-0066,CON-0066,2026-05-24,GBP,97277.65,OPEN
PO-000162,SUP-0104,CON-0104,2026-06-19,GBP,48278.07,OPEN
PO-000163,SUP-0052,CON-0052,2026-07-08,EUR,5780.19,OPEN
PO-000164,SUP-0084,CON-0084,2026-02-26,EUR,53614.87,OPEN
PO-000165,SUP-0007,CON-0007,2026-02-05,GBP,148856.0,OPEN
PO-000166,SUP-0101,CON-0101,2026-02-03,EUR,92364.72,OPEN
PO-000167,SUP-0040,CON-0040,2026-01-27,USD,57840.8,OPEN
PO-000168,SUP-0044,CON-0044,2026-04-02,USD,112642.28,OPEN
PO-000169,SUP-0084,CON-0084,2026-01-13,EUR,103617.59,OPEN
PO-000170,SUP-0093,CON-0093,2026-03-14,GBP,17544.88,OPEN
PO-000171,SUP-0117,CON-0117,2026-08-02,INR,86335.84,OPEN
PO-000172,SUP-0013,CON-0013,2026-08-12,INR,6396.96,OPEN
PO-000173,SUP-0113,CON-0113,2026-04-06,INR,122337.16,OPEN
PO-000174,SUP-0089,CON-0121,2026-07-24,GBP,63550.1,OPEN
PO-000175,SUP-0117,CON-0117,2026-07-25,INR,85557.04,OPEN
PO-000176,SUP-0114,CON-0114,2026-04-23,EUR,7372.86,OPEN
PO-000177,SUP-0115,CON-0115,2026-01-03,EUR,96688.11,OPEN
PO-000178,SUP-0110,CON-0110,2026-04-25,USD,47751.2,OPEN
PO-000179,SUP-0071,CON-0071,2026-07-31,INR,14088.88,OPEN
PO-000180,SUP-0077,CON-0077,2026-07-03,EUR,98746.5,OPEN
PO-000181,SUP-0107,CON-0107,2026-05-21,EUR,78536.77,OPEN
PO-000182,SUP-0014,CON-0014,2026-06-06,INR,29790.26,OPEN
PO-000183,SUP-0095,CON-0095,2026-05-22,GBP,140328.59,OPEN
PO-000184,SUP-0078,CON-0078,2026-03-12,EUR,59981.56,OPEN
PO-000185,SUP-0092,CON-0092,2026-06-25,INR,52121.39,OPEN
PO-000186,SUP-0104,CON-0104,2026-05-14,GBP,16417.33,OPEN
PO-000187,SUP-0027,CON-0027,2026-04-02,EUR,122196.92,OPEN
PO-000188,SUP-0101,CON-0101,2026-05-22,EUR,8543.43,OPEN
PO-000189,SUP-0023,CON-0023,2026-02-17,EUR,144390.05,OPEN
PO-000190,SUP-0034,CON-0034,2026-02-11,GBP,87805.92,OPEN
PO-000191,SUP-0119,CON-0119,2026-06-02,INR,8102.89,OPEN
PO-000192,SUP-0085,CON-0132,2026-03-26,GBP,54439.27,OPEN
PO-000193,SUP-0103,CON-0103,2026-05-05,GBP,7055.82,OPEN
PO-000194,SUP-0107,CON-0107,2026-06-15,EUR,122604.78,OPEN
PO-000195,SUP-0010,CON-0010,2026-08-22,INR,39167.87,OPEN
PO-000196,SUP-0037,CON-0150,2026-04-08,INR,59569.43,OPEN
PO-000197,SUP-0040,CON-0040,2026-07-11,USD,111343.86,OPEN
PO-000198,SUP-0086,CON-0086,2026-08-06,GBP,112780.75,OPEN
PO-000199,SUP-0093,CON-0093,2026-03-26,GBP,53892.18,OPEN
PO-000200,SUP-0058,CON-0058,2026-06-07,GBP,99083.63,OPEN
PO-000201,SUP-0046,CON-0046,2026-05-05,USD,82974.94,OPEN
PO-000202,SUP-0094,CON-0094,2026-07-06,USD,11772.29,OPEN
PO-000203,SUP-0071,CON-0071,2026-05-20,INR,134150.9,OPEN
PO-000204,SUP-0051,CON-0051,2026-05-09,GBP,2083.46,OPEN
PO-000205,SUP-0029,CON-0029,2026-03-01,USD,9897.74,OPEN
PO-000206,SUP-0014,CON-0014,2026-08-02,INR,111415.5,OPEN
PO-000207,SUP-0022,CON-0022,2026-01-20,GBP,77423.92,OPEN
PO-000208,SUP-0062,CON-0062,2026-05-03,GBP,32000.24,OPEN
PO-000209,SUP-0113,CON-0113,2026-01-22,INR,32880.72,OPEN
PO-000210,SUP-0014,CON-0014,2026-02-21,INR,78645.35,OPEN
PO-000211,SUP-0112,CON-0112,2026-06-28,EUR,79707.57,OPEN
PO-000212,SUP-0074,CON-0074,2026-05-14,EUR,1575.51,OPEN
PO-000213,SUP-0097,CON-0097,2026-04-16,GBP,83039.69,OPEN
PO-000214,SUP-0096,CON-0096,2026-04-25,EUR,117574.83,OPEN
PO-000215,SUP-0090,CON-0090,2026-02-11,USD,58671.0,OPEN
PO-000216,SUP-0009,CON-0009,2026-02-26,EUR,55939.85,OPEN
PO-000217,SUP-0047,CON-0047,2026-06-17,INR,542.95,OPEN
PO-000218,SUP-0052,CON-0052,2026-05-13,EUR,2797.3,OPEN
PO-000219,SUP-0045,CON-0045,2026-02-27,EUR,91151.33,OPEN
PO-000220,SUP-0062,CON-0062,2026-07-13,GBP,51279.28,OPEN
PO-000221,SUP-0052,CON-0052,2026-01-20,EUR,83405.45,OPEN
PO-000222,SUP-0016,CON-0016,2026-06-23,USD,143389.06,OPEN
PO-000223,SUP-0041,CON-0041,2026-08-18,USD,147811.52,OPEN
PO-000224,SUP-0059,CON-0133,2026-06-26,INR,1758.58,OPEN
PO-000225,SUP-0047,CON-0047,2026-03-13,INR,67883.98,OPEN
PO-000226,SUP-0061,CON-0061,2026-02-15,EUR,63517.34,OPEN
PO-000227,SUP-0058,CON-0058,2026-03-08,GBP,54463.82,OPEN
PO-000228,SUP-0079,CON-0079,2026-04-29,INR,94940.97,OPEN
PO-000229,SUP-0044,CON-0044,2026-03-22,USD,47873.3,OPEN
PO-000230,SUP-0096,CON-0096,2026-02-23,EUR,25453.11,OPEN
PO-000231,SUP-0099,CON-0099,2026-05-15,USD,114866.96,OPEN
PO-000232,SUP-0040,CON-0040,2026-03-05,USD,110770.19,OPEN
PO-000233,SUP-0071,CON-0071,2026-02-04,INR,145446.57,OPEN
PO-000234,SUP-0067,CON-0067,2026-03-30,USD,43370.96,OPEN
PO-000235,SUP-0034,CON-0034,2026-04-19,GBP,93985.79,OPEN
PO-000236,SUP-0063,CON-0063,2026-03-24,INR,3399.61,OPEN
PO-000237,SUP-0092,CON-0092,2026-07-06,INR,1726.51,OPEN
PO-000238,SUP-0043,CON-0043,2026-08-04,USD,112710.15,OPEN
PO-000239,SUP-0024,CON-0024,2026-08-18,USD,126310.12,OPEN
PO-000240,SUP-0095,CON-0095,2026-02-20,GBP,69394.78,OPEN
PO-000241,SUP-0033,CON-0033,2026-06-13,USD,45172.56,OPEN
PO-000242,SUP-0042,CON-0042,2026-02-12,USD,119261.36,OPEN
PO-000243,SUP-0090,CON-0090,2026-02-02,USD,73432.51,OPEN
PO-000244,SUP-0025,CON-0025,2026-05-20,USD,52475.87,OPEN
PO-000245,SUP-0114,CON-0114,2026-06-08,EUR,128595.98,OPEN
PO-000246,SUP-0085,CON-0085,2026-01-12,EUR,125361.41,OPEN
PO-000247,SUP-0085,CON-0132,2026-05-15,GBP,93783.59,OPEN
PO-000248,SUP-0002,CON-0002,2026-06-17,USD,73965.12,OPEN
PO-000249,SUP-0025,CON-0025,2026-05-15,USD,98703.04,OPEN
PO-000250,SUP-0109,CON-0109,2026-04-16,EUR,114745.56,OPEN
PO-000251,SUP-0003,CON-0003,2026-08-16,EUR,45625.33,OPEN
PO-000252,SUP-0046,CON-0046,2026-02-05,USD,40115.73,OPEN
PO-000253,SUP-0102,CON-0102,2026-02-14,GBP,73497.32,OPEN
PO-000254,SUP-0068,CON-0068,2026-03-23,INR,81219.49,OPEN
PO-000255,SUP-0061,CON-0061,2026-05-21,EUR,60179.1,OPEN
PO-000256,SUP-0086,CON-0086,2026-04-19,GBP,55107.51,OPEN
PO-000257,SUP-0015,CON-0015,2026-03-04,EUR,142366.67,OPEN
PO-000258,SUP-0071,CON-0071,2026-06-09,INR,109623.58,OPEN
PO-000259,SUP-0037,CON-0037,2026-07-22,EUR,104630.74,OPEN
PO-000260,SUP-0085,CON-0135,2026-04-03,GBP,129710.2,OPEN
PO-000261,SUP-0072,CON-0072,2026-01-11,EUR,37485.12,OPEN
PO-000262,SUP-0113,CON-0113,2026-08-16,INR,149992.79,OPEN
PO-000263,SUP-0020,CON-0020,2026-03-21,EUR,136505.44,OPEN
PO-000264,SUP-0093,CON-0093,2026-02-17,GBP,47980.84,OPEN
PO-000265,SUP-0096,CON-0096,2026-02-08,EUR,116976.63,OPEN
PO-000266,SUP-0088,CON-0088,2026-04-02,EUR,12381.58,OPEN
PO-000267,SUP-0029,CON-0029,2026-04-15,USD,114798.56,OPEN
PO-000268,SUP-0078,CON-0078,2026-07-04,EUR,47278.17,OPEN
PO-000269,SUP-0069,CON-0069,2026-07-08,EUR,6368.12,OPEN
PO-000270,SUP-0100,CON-0100,2026-04-29,EUR,25389.75,OPEN
PO-000271,SUP-0012,CON-0012,2026-02-16,EUR,116920.31,OPEN
PO-000272,SUP-0094,CON-0094,2026-04-07,USD,82776.71,OPEN
PO-000273,SUP-0037,CON-0037,2026-01-31,EUR,134832.02,OPEN
PO-000274,SUP-0110,CON-0110,2026-05-20,USD,121214.46,OPEN
PO-000275,SUP-0080,CON-0080,2026-01-13,INR,28133.58,OPEN
PO-000276,SUP-0079,CON-0079,2026-04-27,INR,112525.55,OPEN
PO-000277,SUP-0105,CON-0105,2026-07-14,GBP,64384.91,OPEN
PO-000278,SUP-0012,CON-0142,2026-07-05,USD,103453.81,OPEN
PO-000279,SUP-0004,CON-0140,2026-06-10,EUR,119611.52,OPEN
PO-000280,SUP-0044,CON-0044,2026-07-05,USD,85553.77,OPEN
PO-000281,SUP-0081,CON-0137,2026-08-17,USD,129851.04,OPEN
PO-000282,SUP-0108,CON-0108,2026-05-27,USD,91050.52,OPEN
PO-000283,SUP-0012,CON-0142,2026-08-13,USD,36027.52,OPEN
PO-000284,SUP-0044,CON-0044,2026-07-07,USD,131144.92,OPEN
PO-000285,SUP-0112,CON-0112,2026-03-27,EUR,70297.95,OPEN
PO-000286,SUP-0082,CON-0082,2026-03-24,GBP,30483.05,OPEN
PO-000287,SUP-0071,CON-0071,2026-03-11,INR,21662.75,OPEN
PO-000288,SUP-0061,CON-0061,2026-01-28,EUR,57848.15,OPEN
PO-000289,SUP-0088,CON-0088,2026-05-01,EUR,35138.28,OPEN
PO-000290,SUP-0004,CON-0004,2026-05-02,GBP,17376.62,OPEN
PO-000291,SUP-0071,CON-0071,2026-05-04,INR,57880.56,OPEN
PO-000292,SUP-0095,CON-0124,2026-01-30,INR,89028.39,OPEN
PO-000293,SUP-0012,CON-0125,2026-07-29,USD,21268.05,OPEN
PO-000294,SUP-0039,CON-0039,2026-08-24,GBP,141528.33,OPEN
PO-000295,SUP-0031,CON-0031,2026-06-29,GBP,88729.5,OPEN
PO-000296,SUP-0083,CON-0083,2026-02-06,INR,108340.22,OPEN
PO-000297,SUP-0064,CON-0064,2026-07-02,EUR,75508.46,OPEN
PO-000298,SUP-0114,CON-0114,2026-03-04,EUR,71131.51,OPEN
PO-000299,SUP-0022,CON-0022,2026-06-27,GBP,138468.25,OPEN
PO-000300,SUP-0033,CON-0033,2026-06-07,USD,42505.3,OPEN
PO-000301,SUP-0085,CON-0132,2026-04-05,GBP,121272.18,OPEN
PO-000302,SUP-0097,CON-0097,2026-07-17,GBP,57783.47,OPEN
PO-000303,SUP-0061,CON-0061,2026-05-02,EUR,112049.51,OPEN
PO-000304,SUP-0043,CON-0130,2026-03-10,USD,120446.3,OPEN
PO-000305,SUP-0093,CON-0093,2026-03-06,GBP,29365.39,OPEN
PO-000306,SUP-0091,CON-0091,2026-01-23,USD,128537.9,OPEN
PO-000307,SUP-0049,CON-0049,2026-03-27,INR,149395.81,OPEN
PO-000308,SUP-0079,CON-0079,2026-08-22,INR,66516.47,OPEN
PO-000309,SUP-0100,CON-0100,2026-01-05,EUR,134528.6,OPEN
PO-000310,SUP-0116,CON-0116,2026-05-28,EUR,1053.71,OPEN
PO-000311,SUP-0110,CON-0110,2026-01-21,USD,126256.65,OPEN
PO-000312,SUP-0063,CON-0063,2026-08-15,INR,95102.29,OPEN
PO-000313,SUP-0083,CON-0083,2026-05-08,INR,80324.04,OPEN
PO-000314,SUP-0052,CON-0052,2026-02-24,EUR,121162.0,OPEN
PO-000315,SUP-0032,CON-0032,2026-01-04,USD,26251.23,OPEN
PO-000316,SUP-0104,CON-0104,2026-03-25,GBP,18559.96,OPEN
PO-000317,SUP-0032,CON-0032,2026-02-04,USD,15445.19,OPEN
PO-000318,SUP-0089,CON-0121,2026-06-27,GBP,19470.42,OPEN
PO-000319,SUP-0001,CON-0001,2026-02-19,EUR,18067.42,OPEN
PO-000320,SUP-0086,CON-0086,2026-01-14,GBP,96906.7,OPEN
PO-000321,SUP-0021,CON-0021,2026-05-05,GBP,77478.11,OPEN
PO-000322,SUP-0031,CON-0031,2026-08-11,GBP,30393.4,OPEN
PO-000323,SUP-0028,CON-0028,2026-02-15,INR,58405.88,OPEN
PO-000324,SUP-0021,CON-0021,2026-05-28,GBP,145535.31,OPEN
PO-000325,SUP-0108,CON-0108,2026-03-13,USD,2668.33,OPEN
PO-000326,SUP-0006,CON-0006,2026-05-01,GBP,110154.71,OPEN
PO-000327,SUP-0058,CON-0058,2026-03-03,GBP,12922.18,OPEN
PO-000328,SUP-0024,CON-0128,2026-06-10,GBP,69912.22,OPEN
PO-000329,SUP-0055,CON-0055,2026-06-28,USD,141941.28,OPEN
PO-000330,SUP-0114,CON-0114,2026-01-29,EUR,57751.77,OPEN
PO-000331,SUP-0091,CON-0091,2026-05-24,USD,106545.9,OPEN
PO-000332,SUP-0115,CON-0115,2026-05-09,EUR,102193.9,OPEN
PO-000333,SUP-0065,CON-0065,2026-05-01,GBP,106618.88,OPEN
PO-000334,SUP-0081,CON-0081,2026-03-17,INR,62772.23,OPEN
PO-000335,SUP-0108,CON-0108,2026-04-28,USD,45960.31,OPEN
PO-000336,SUP-0037,CON-0037,2026-02-14,EUR,125980.09,OPEN
PO-000337,SUP-0027,CON-0027,2026-06-20,EUR,47883.09,OPEN
PO-000338,SUP-0099,CON-0099,2026-04-28,USD,139207.79,OPEN
PO-000339,SUP-0097,CON-0097,2026-07-24,GBP,85002.11,OPEN
PO-000340,SUP-0008,CON-0008,2026-05-30,EUR,79201.86,OPEN
PO-000341,SUP-0078,CON-0078,2026-08-21,EUR,100181.57,OPEN
PO-000342,SUP-0112,CON-0112,2026-02-25,EUR,109314.08,OPEN
PO-000343,SUP-0001,CON-0001,2026-06-13,EUR,137204.37,OPEN
PO-000344,SUP-0006,CON-0006,2026-08-02,GBP,87988.63,OPEN
PO-000345,SUP-0077,CON-0077,2026-05-29,EUR,72332.64,OPEN
PO-000346,SUP-0046,CON-0046,2026-01-14,USD,41264.22,OPEN
PO-000347,SUP-0035,CON-0138,2026-01-25,EUR,80395.84,OPEN
PO-000348,SUP-0028,CON-0028,2026-05-09,INR,33556.47,OPEN
PO-000349,SUP-0119,CON-0119,2026-05-03,INR,52557.38,OPEN
PO-000350,SUP-0089,CON-0089,2026-03-20,INR,19238.96,OPEN
